tertile,DV,type,N,N_treat,AUC,SMD_bad,ATT,CI_lo,CI_hi,sig
Low RP (bottom 1/3),1+_mainspace_edit_14d,primary,11752,7739,0.6117096275198383,0,0.01890741787191751,0.0048363977937216735,0.03403231168049736,True
Low RP (bottom 1/3),n_mainspace_edits_14d,supplementary,11752,7739,0.6117096275198383,0,1.2187081394399428,0.35815675871541275,2.045561366491647,True
Low RP (bottom 1/3),active_days_30d,supplementary,11752,7739,0.6117096275198383,0,0.15622036753328916,0.049680078159925575,0.27898014834866675,True
Low RP (bottom 1/3),unique_namespace_14d,supplementary,11752,7739,0.6117096275198383,0,0.042566226541973215,0.013805544204582293,0.0665513382320929,True
Low RP (bottom 1/3),reverted_any_14d,supplementary,11752,7739,0.6117096275198383,0,0.007596639504214212,-0.003586105058298553,0.019100450270698874,False
Med RP (middle 1/3),1+_mainspace_edit_14d,primary,11756,9106,0.5649792175177883,0,0.0236855223428519,0.005361337416579951,0.04125512661726322,True
Med RP (middle 1/3),n_mainspace_edits_14d,supplementary,11756,9106,0.5649792175177883,0,1.5804591944577833,0.528450583976255,3.0105646814022533,True
Med RP (middle 1/3),active_days_30d,supplementary,11756,9106,0.5649792175177883,0,0.178271060439106,0.049864467444240765,0.3397293222095292,True
Med RP (middle 1/3),unique_namespace_14d,supplementary,11756,9106,0.5649792175177883,0,0.03668188094300904,0.0006103279312174694,0.0696726278229318,True
Med RP (middle 1/3),reverted_any_14d,supplementary,11756,9106,0.5649792175177883,0,0.006705609590536232,-0.0070167732374760376,0.019649842453627695,False
High RP (top 1/3),1+_mainspace_edit_14d,primary,11752,9371,0.5547284326963124,0,0.010705946123676079,-0.010682834945644216,0.030889229370512184,False
High RP (top 1/3),n_mainspace_edits_14d,supplementary,11752,9371,0.5547284326963124,0,0.20475604551982318,-1.4338843319094257,1.9236832938518413,False
High RP (top 1/3),active_days_30d,supplementary,11752,9371,0.5547284326963124,0,0.08119190011139699,-0.09282147507604002,0.2520513842665759,False
High RP (top 1/3),unique_namespace_14d,supplementary,11752,9371,0.5547284326963124,0,0.02170479644838427,-0.015303857121013812,0.05794086288304249,False
High RP (top 1/3),reverted_any_14d,supplementary,11752,9371,0.5547284326963124,0,0.007530360890704792,-0.00904522135186368,0.02041920567574002,False
