Model,p,AUC,ATT,CI_lo,CI_hi,Sig,SMD_gt_0.1
Full model (E+Qtext+Qpersp+Qtype+Emb+T),164,0.6180375370564593,0.016505247812403104,0.007612244506810909,0.02736314973014993,*,0
Full – Qtype (no LLM annotation),159,0.6129109202638563,0.018284795762825518,0.00842829505932602,0.028762196007593634,*,0
Full – temporal,104,0.6010113414217315,0.016221588998648968,0.005917055661006623,0.025880607722653583,*,0
Full – embeddings,144,0.6149919989928123,0.01669326971906304,0.006841909932877071,0.02674148116928081,*,0
Full – Qtext,127,0.6156204253062203,0.017262967928585473,0.007003478824658258,0.027829579072270405,*,0
Full – Qpersp,156,0.6183530189800758,0.01639325810360765,0.00705055710704233,0.026259306606611625,*,0
Full + full emb (1024d),1168,0.5981587813423156,0.02489082459792317,0.013954201148462847,0.03533542804452546,*,3
Edit history only,34,0.536940420386331,0.023158871754535244,0.013921625023370403,0.031989448487137494,*,0
E + embeddings,54,0.587805873261247,0.01957220854443034,0.009657121002971088,0.028863032937332493,*,0
E + Qtext,71,0.5816141778561388,0.01928990038393633,0.009128006781714168,0.029217894352115935,*,0
E + Qpersp,42,0.5353122496406213,0.02465740661579764,0.01569335692345428,0.03410663913874339,*,0
E + Qtype,39,0.591509364164506,0.017683176617706915,0.008626599594569828,0.02749262370949446,*,0
Question features only (Qtext+Qpersp+Qtype),50,0.5946270860775034,0.017175938480681142,0.006986233493511417,0.027236260873586226,*,0
Embeddings only,20,0.5846245875890919,0.02280378716104012,0.01315143825378409,0.03292751554199327,*,0
Qtype only,5,0.5808694179491865,0.019148111478522127,0.010362623176808855,0.028469985385674357,*,0
Full + mentor features,170,0.7963288231477463,0.006977649115752832,-0.008519419767136506,0.02189182791277614,,1
