Subgroup,N,Outcome,Naive,ATT,CI_lo,CI_hi,Cohen_d,Sig
Technical,16363,1+_mainspace_edit_14d,0.024474768644525607,0.018885414568196483,0.003957731737217565,0.03481202339214871,0.04724255617403873,*
Technical,16363,n_mainspace_edits_14d,1.031574937629978,0.6677317564532134,-0.6420124800967048,1.778873225202107,0.026277391207898362,
Technical,16363,active_days_30d,0.2035599046318617,0.14590024193533613,0.004437396714154245,0.27248760859332566,0.0457567027318589,*
Technical,16363,unique_namespace_14d,0.04307554297248628,0.03215170608533418,0.004110330918017043,0.06027003416471725,0.043627818015223696,*
Technical,16363,reverted_any_14d,0.01018585392092955,0.008857717501192157,-0.0014355554855469534,0.020757178344929253,0.030103636499937015,
Referent,4573,1+_mainspace_edit_14d,0.0011813524728653824,0.001922304052785448,-0.02426927351264399,0.025835607406560518,0.005348800329285547,
Referent,4573,n_mainspace_edits_14d,0.1213781544408854,0.0189632674958848,-1.190204803131901,1.0284264039877704,0.0015117876276823058,
Referent,4573,active_days_30d,-0.08552991903545415,-0.06819466352375146,-0.23370144282057978,0.09947409159634249,-0.025517299106520886,
Referent,4573,unique_namespace_14d,0.011568873930497547,0.010215589314872249,-0.03734007667216064,0.05627531247071756,0.016315402142839927,
Referent,4573,reverted_any_14d,-0.009351337469418658,-0.007967359795383348,-0.028180521623754663,0.013104480436035452,-0.026671134591279927,
Appraisal,1755,1+_mainspace_edit_14d,0.046182517034534964,0.04936066331814446,-0.004630211225231101,0.09838254681228183,0.10861770654256982,
Appraisal,1755,n_mainspace_edits_14d,1.2667356384053825,0.2686506546049503,-7.310225203696117,4.42513734463552,0.0058888525953349055,
Appraisal,1755,active_days_30d,0.4028217891314698,0.3163282326477583,-0.12759885655769135,0.7943644530356999,0.07896200652507677,
Appraisal,1755,unique_namespace_14d,0.01387085612883554,0.026599274249145297,-0.07965702825717438,0.13591521806479281,0.02557263265947193,
Appraisal,1755,reverted_any_14d,-0.02060245215085628,-0.024463746412019528,-0.0621720901234732,0.01168132622509892,-0.07071252870264973,
Normative,6642,1+_mainspace_edit_14d,0.023758205719379533,0.0261755807898707,-0.004721381656727073,0.05715913956526596,0.05643224337836128,
Normative,6642,n_mainspace_edits_14d,1.4788604711307247,1.3497327665197039,-1.6789227534749707,4.037930921237559,0.031902124667772994,
Normative,6642,active_days_30d,0.19034160003961853,0.17266719130538796,-0.08755315355789506,0.43781094993744035,0.0394860514549594,
Normative,6642,unique_namespace_14d,0.04361068160433168,0.04480197737265486,-0.015202136796016353,0.09831812003842215,0.04998481088261736,
Normative,6642,reverted_any_14d,0.012781938338111393,0.014424023150981955,-0.005750454365763748,0.03319738731402446,0.04170329390416367,
Non-substantive,6787,1+_mainspace_edit_14d,0.006222044437979551,0.008007281021904372,-0.009072925127147564,0.022907021726981978,0.026156346533375566,
Non-substantive,6787,n_mainspace_edits_14d,0.8561110404014689,1.1440874243607284,0.3227232732548554,2.2458200656841503,0.068517983468912,*
Non-substantive,6787,active_days_30d,0.06592876104585621,0.08541444771342405,-0.02394477818485663,0.19407080545054195,0.039886919784082195,
Non-substantive,6787,unique_namespace_14d,0.018421397141714257,0.020100450174552857,-0.008412388422764285,0.05074731397146901,0.03485553476152077,
Non-substantive,6787,reverted_any_14d,0.004658533037564999,0.00588455729638796,-0.006668688191395697,0.019520523206456485,0.023251009141215993,
