Subgroup,N,T,C,Outcome,Ctrl_mean,Treat_mean,ATT,CI_lo,CI_hi,Cohen_d,Sig
Full sample,35381,26278,9103,1+_mainspace_14d,0.1871,0.2231,0.0196,0.0115,0.0301,0.0502,*
Full sample,35381,26278,9103,n_edits_14d,3.5993,4.8394,0.5929,-0.2822,1.5,0.0215,
Full sample,35381,26278,9103,active_days_30d,1.0374,1.2824,0.1007,0.0107,0.1875,0.0315,*
Full sample,35381,26278,9103,unique_ns_14d,0.3542,0.4162,0.0292,0.0092,0.0487,0.0391,*
Full sample,35381,26278,9103,reverted_any_14d,0.0976,0.1083,0.0068,-0.0011,0.0148,0.0229,
Full sample,35381,26278,9103,2+_active_days_14d,0.1016,0.1287,0.0164,0.0088,0.0251,0.0544,*
Technical,16444,12753,3691,1+_mainspace_14d,0.198,0.2246,0.0238,0.0091,0.0389,0.0597,*
Technical,16444,12753,3691,n_edits_14d,3.9859,4.7649,0.5523,-0.6303,1.8845,0.0201,
Technical,16444,12753,3691,active_days_30d,1.1059,1.2995,0.1601,0.0341,0.2827,0.0495,*
Technical,16444,12753,3691,unique_ns_14d,0.3695,0.4155,0.0397,0.0101,0.0668,0.0538,*
Technical,16444,12753,3691,reverted_any_14d,0.0978,0.1074,0.009,-0.0018,0.0201,0.0303,
Technical,16444,12753,3691,2+_active_days_14d,0.1067,0.1269,0.0171,0.0062,0.0272,0.0555,*
Referent (Q2),4641,3560,1081,1+_mainspace_14d,0.1582,0.1615,-0.0001,-0.0261,0.0247,-0.0002,
Referent (Q2),4641,3560,1081,n_edits_14d,3.1841,2.6006,-0.8588,-2.6889,0.6513,-0.042,
Referent (Q2),4641,3560,1081,active_days_30d,0.803,0.741,-0.0866,-0.2749,0.0867,-0.0303,
Referent (Q2),4641,3560,1081,unique_ns_14d,0.2849,0.3025,0.0072,-0.042,0.0536,0.0111,
Referent (Q2),4641,3560,1081,reverted_any_14d,0.0971,0.0955,-0.0037,-0.0251,0.0163,-0.0124,
Referent (Q2),4641,3560,1081,2+_active_days_14d,0.0796,0.0826,0.0019,-0.0176,0.0208,0.007,
Appraisal (Q3),2006,1497,509,1+_mainspace_14d,0.2986,0.34,0.0409,-0.0035,0.0902,0.0893,
Appraisal (Q3),2006,1497,509,n_edits_14d,5.5442,6.7014,1.044,-3.4546,4.415,0.0241,
Appraisal (Q3),2006,1497,509,active_days_30d,1.8428,2.2111,0.338,-0.1088,0.7392,0.0889,
Appraisal (Q3),2006,1497,509,unique_ns_14d,0.6916,0.7014,0.0055,-0.0991,0.1059,0.0054,
Appraisal (Q3),2006,1497,509,reverted_any_14d,0.1356,0.1162,-0.0216,-0.0553,0.0147,-0.063,
Appraisal (Q3),2006,1497,509,2+_active_days_14d,0.1788,0.2044,0.0256,-0.013,0.062,0.0668,
Normative (Q4),6385,5085,1300,1+_mainspace_14d,0.3131,0.3345,0.0184,-0.0118,0.0481,0.0397,
Normative (Q4),6385,5085,1300,n_edits_14d,6.1346,8.1184,1.6727,-1.0236,4.2129,0.0457,
Normative (Q4),6385,5085,1300,active_days_30d,1.8662,2.0108,0.1061,-0.1889,0.3747,0.0241,
Normative (Q4),6385,5085,1300,unique_ns_14d,0.5669,0.6053,0.0288,-0.0284,0.086,0.032,
Normative (Q4),6385,5085,1300,reverted_any_14d,0.1377,0.1477,0.0072,-0.0142,0.0293,0.021,
Normative (Q4),6385,5085,1300,2+_active_days_14d,0.1831,0.2102,0.0236,-0.0025,0.0474,0.0611,
Non-substantive,7000,4242,2758,1+_mainspace_14d,0.1106,0.1108,-0.0001,-0.0157,0.0137,-0.0004,
Non-substantive,7000,4242,2758,n_edits_14d,1.6548,2.4731,0.7244,-0.6317,1.8437,0.0384,
Non-substantive,7000,4242,2758,active_days_30d,0.5406,0.6023,0.0658,-0.0373,0.1714,0.0294,
Non-substantive,7000,4242,2758,unique_ns_14d,0.2157,0.2209,0.0019,-0.0279,0.0364,0.0031,
Non-substantive,7000,4242,2758,reverted_any_14d,0.0743,0.0743,-0.0005,-0.0147,0.0119,-0.0019,
Non-substantive,7000,4242,2758,2+_active_days_14d,0.0551,0.058,0.0047,-0.0058,0.0159,0.0206,
Own work (Q5=Y),8216,6299,1917,1+_mainspace_14d,0.2817,0.3174,0.033,0.0082,0.0571,0.0733,*
Own work (Q5=Y),8216,6299,1917,n_edits_14d,5.0177,7.0371,1.7813,-0.0745,3.3404,0.0613,
Own work (Q5=Y),8216,6299,1917,active_days_30d,1.7042,1.9651,0.2196,-0.0217,0.4471,0.0561,
Own work (Q5=Y),8216,6299,1917,unique_ns_14d,0.5561,0.6209,0.0619,0.0162,0.1041,0.0707,*
Own work (Q5=Y),8216,6299,1917,reverted_any_14d,0.1236,0.1261,0.0008,-0.0154,0.0183,0.0024,
Own work (Q5=Y),8216,6299,1917,2+_active_days_14d,0.1654,0.1921,0.0255,0.0059,0.0466,0.0687,*
No own work (Q5=N),27165,19979,7186,1+_mainspace_14d,0.1618,0.1934,0.0157,0.0052,0.0269,0.0425,*
No own work (Q5=N),27165,19979,7186,n_edits_14d,3.2208,4.1466,0.2091,-0.9972,1.2113,0.0077,
No own work (Q5=N),27165,19979,7186,active_days_30d,0.8594,1.0672,0.0776,-0.0223,0.1734,0.0263,
No own work (Q5=N),27165,19979,7186,unique_ns_14d,0.3003,0.3517,0.0208,-0.001,0.0425,0.0297,
No own work (Q5=N),27165,19979,7186,reverted_any_14d,0.0906,0.1028,0.0074,-0.0022,0.0161,0.0257,
No own work (Q5=N),27165,19979,7186,2+_active_days_14d,0.0846,0.1087,0.014,0.005,0.0225,0.0502,*
