feature,r_with_direction,p_value,sig
q_poly_feature_politeness_==Direct_question==,0.1663899570553434,7.736107751132044e-80,***
q_body_char_len,0.1472559064767954,9.51853273185813e-63,***
q_body_word_count,0.13523994006924894,4.033473476519744e-53,***
r_n_policy,-0.10964477130896218,2.1557002279410902e-35,***
q_poly_feature_politeness_==Indirect_(greeting)==,0.10420981738084709,3.9351417354605446e-32,***
q_tb_subjectivity,0.10050053401825099,5.4350504873650904e-30,***
q_poly_feature_politeness_==2nd_person==,0.0938460379454504,2.3963127542217187e-26,***
q_link_count,0.08741387838852117,4.6212591554481266e-23,***
r_reply_q_word_ratio,-0.0872519156655412,5.68247657696379e-23,***
q_poly_feature_politeness_==Gratitude==,0.08660233589421554,1.1554058193701745e-22,***
q_poly_feature_politeness_==Factuality==,0.08531467154631692,4.8597619827671555e-22,***
q_vader_neg,0.08111634269498263,4.531473485836474e-20,***
r_n_resources,-0.0731213905492834,1.3869979583572386e-16,***
r_pronoun_we_rate,-0.06718344626489284,3.125291414067332e-14,***
r_flesch_kincaid,-0.06584681109064207,9.945451408212413e-14,***
q_poly_feature_politeness_==1st_person_start==,-0.05994891612601949,1.2405193316407631e-11,***
q_has_url,0.05656375161919218,1.6352680368092686e-10,***
q_mentions_wp,0.04839474951074583,4.555336635321574e-08,***
q_poly_feature_politeness_==1st_person==,-0.043797256162461114,7.502707124908462e-07,***
q_vader_compound,0.042760605640986535,1.3608378947476844e-06,***
q_persp_severe_toxicity,-0.04239933926635097,1.6694168231816803e-06,***
r_pronoun_i_rate,0.04194429854280874,2.1664729501690896e-06,***
q_poly_feature_politeness_==1st_person_pl.==,-0.04030337659398863,5.292880596885385e-06,***
q_poly_feature_politeness_==SUBJUNCTIVE==,0.03983309235798027,6.806117946058224e-06,***
q_tb_polarity,0.039485343164553446,8.182601650285955e-06,***
q_persp_sexually_explicit,-0.03893101767176292,1.0941208406453483e-05,***
q_persp_profanity,-0.03645619104141991,3.8228572803677e-05,***
r_pronoun_you_rate,-0.03446220516584797,9.956590197311351e-05,***
q_poly_feature_politeness_==HASHEDGE==,0.03254615662381681,0.00023689694515146797,***
r_n_link,0.029167915288884644,0.000989442645461824,***
q_mentions_help,0.028478673068444024,0.0012980510118411883,**
q_poly_feature_politeness_==Apologizing==,0.027877646022995823,0.0016410902603997267,**
q_poly_feature_politeness_==Deference==,0.027340342245692578,0.002016461746329313,**
q_template_count,0.026295397240212723,0.002980518224274567,**
r_words,0.025742432968860824,0.0036539813588863483,**
r_type_token_ratio,-0.025118244265113044,0.004567032862354699,**
r_sentences,0.024096780629827154,0.006514036097988082,**
q_poly_feature_politeness_==HASPOSITIVE==,0.0216531768763508,0.01447226584100642,*
r_vader_compound,0.021291457333993184,0.01622130299002092,*
q_persp_threat,-0.019600251415445795,0.026867601504526224,*
r_n_question_marks,0.01861898935190825,0.03554376365878533,*
q_poly_feature_politeness_==Hedges==,0.018208826053314517,0.03975585071833344,*
q_poly_feature_politeness_==2nd_person_start==,0.018037893833680926,0.041652986058246265,*
r_has_steps,0.01803123924962823,0.04177648345373165,*
q_is_indented,0.01802724672838774,0.04177364931094906,*
q_persp_toxicity,-0.017135140583494395,0.05298909653067386,
r_reply_lag_hours,-0.014994268791984608,0.0904894938807882,
q_poly_feature_politeness_==Please_start==,-0.01332405250725447,0.13242858382664352,
q_poly_feature_politeness_==HASNEGATIVE==,0.012488229516369718,0.15847996161859398,
q_persp_identity_attack,-0.011412775487593016,0.1974846563353339,
q_vader_neu,-0.01108699370224525,0.21058412232284068,
q_poly_feature_politeness_==INDICATIVE==,0.010061761637680513,0.25587961356785655,
q_persp_flirtation,-0.009536988630237827,0.2815145603505862,
q_poly_feature_politeness_==Direct_start==,-0.009043472782121913,0.307163125524962,
r_n_wikilink,0.008696309247726188,0.32621892962991617,
q_vader_pos,-0.00750305801260644,0.3968596518906584,
q_poly_feature_politeness_==Indirect_(btw)==,0.005624031281777169,0.5253892734688241,
r_tb_polarity,-0.004660128838749656,0.5988242994743223,
q_has_sig,0.001989822340642073,0.82222261963297,
r_has_greeting,0.0012273874796793485,0.889796497561129,
r_has_thanks,0.0010323972654081625,0.9072174945521445,
q_persp_insult,0.0008260268944865789,0.9256863531244505,
q_poly_feature_politeness_==Please==,-0.0007951382886033061,0.9284576483294632,
q_has_unsigned,,,
