feature,partial_spearman_r,p_value,sig
r_pronoun_we_rate,-0.2278484269522269,8.923476531801045e-150,***
r_reply_lag_hours,-0.08869188923498139,1.0988239213690672e-23,***
r_has_thanks,0.0698331439413904,2.9451579110603784e-15,***
r_n_policy,-0.05744318029207128,8.571777703787657e-11,***
r_n_question_marks,-0.05283491792525035,2.390279612892897e-09,***
r_n_link,0.03873962326468454,1.2142248295980319e-05,***
r_reply_q_word_ratio,-0.03828334111338724,1.5360783486453e-05,***
r_pronoun_i_rate,0.03824046351010015,1.5701898227695986e-05,***
r_n_resources,-0.03524339507881481,6.893919013781398e-05,***
r_n_wikilink,0.022571202681278674,0.010821133347102756,*
r_vader_compound,0.022491446996305745,0.01110379253503245,*
r_type_token_ratio,-0.01894982643261969,0.032397849921532156,*
r_sentences,0.01617671062212549,0.06780007511900545,
r_words,0.01581357567257801,0.07420771668045341,
r_has_steps,0.010904047468931848,0.21831863285551598,
r_pronoun_you_rate,-0.010259982792083617,0.24674336478532155,
r_tb_polarity,0.008923829502084398,0.31372101363510896,
r_has_greeting,0.005874052989474914,0.5072430630099803,
r_flesch_kincaid,-0.00421813330701539,0.633936396613223,
