feature,spearman_r,p_value,sig
r_reply_lag_hours,-0.12300084967496563,3.6853724800308214e-44,***
r_n_policy,-0.06809052639529369,1.4063732374664811e-14,***
r_pronoun_we_rate,-0.05994228778575251,1.2607991385284437e-11,***
r_n_resources,-0.055567465301298476,3.4307202250870587e-10,***
r_reply_q_word_ratio,-0.04790891743092914,6.245750611751696e-08,***
r_pronoun_you_rate,-0.04339631411319246,9.516302336412736e-07,***
r_pronoun_i_rate,0.04337771550309222,9.61869779723845e-07,***
r_flesch_kincaid,-0.035220288892406415,6.970027951626003e-05,***
r_type_token_ratio,-0.02964159709617691,0.000816850344181897,***
r_words,0.026921018662296858,0.002368090741370899,**
r_sentences,0.023762757724070264,0.007296648459088216,**
r_n_link,0.02279356418535787,0.010066549242974884,*
r_vader_compound,0.016063378560838986,0.06974910579625646,
r_n_wikilink,0.014452078930703192,0.10276321734457138,
r_has_greeting,0.011309316133369747,0.20168453640211972,
r_has_thanks,-0.008151363945446473,0.3574497992185457,
r_n_question_marks,0.007341585487240191,0.40720962721559717,
r_has_steps,0.004506859692109494,0.6109001873756867,
r_tb_polarity,-0.0004475766460457236,0.9597019401085378,
